unitid,icon,army,step,datetime,geopos
B03RFG2B,5,3,78,1815-06-18T06:00:00Z,"4.3937, 50.671"
B03RFG2B,5,3,79,1815-06-18T07:00:00Z,"4.3938, 50.671"
B03RFG2B,5,3,80,1815-06-18T08:00:00Z,"4.394, 50.671"
B03RFG2B,5,3,81,1815-06-18T09:00:00Z,"4.3941, 50.6709"
B03RFG2B,5,3,82,1815-06-18T10:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,82,1815-06-18T10:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,83,1815-06-18T11:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,83,1815-06-18T11:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,84,1815-06-18T12:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,84,1815-06-18T12:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,85,1815-06-18T13:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,85,1815-06-18T13:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,86,1815-06-18T14:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,86,1815-06-18T14:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,87,1815-06-18T15:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,87,1815-06-18T15:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,88,1815-06-18T16:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,88,1815-06-18T16:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,89,1815-06-18T17:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,89,1815-06-18T17:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,90,1815-06-18T18:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,90,1815-06-18T18:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,91,1815-06-18T19:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,91,1815-06-18T19:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,92,1815-06-18T20:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,92,1815-06-18T20:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,93,1815-06-18T21:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,93,1815-06-18T21:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,94,1815-06-18T22:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,94,1815-06-18T22:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,95,1815-06-18T23:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,95,1815-06-18T23:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,96,1815-06-19T00:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,96,1815-06-19T00:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,97,1815-06-19T01:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,97,1815-06-19T01:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,98,1815-06-19T02:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,98,1815-06-19T02:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,99,1815-06-19T03:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,99,1815-06-19T03:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,100,1815-06-19T04:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,100,1815-06-19T04:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,101,1815-06-19T05:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,101,1815-06-19T05:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,102,1815-06-19T06:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,102,1815-06-19T06:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,103,1815-06-19T07:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,103,1815-06-19T07:00:00Z,"4.3968, 50.6706"
B03RFG2B,5,3,104,1815-06-19T08:00:00Z,"4.3942, 50.6709"
B03RFG2B,5,3,104,1815-06-19T08:00:00Z,"4.3968, 50.6706"
B04RF1B,5,3,63,1815-06-17T15:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,64,1815-06-17T16:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,65,1815-06-17T17:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,66,1815-06-17T18:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,67,1815-06-17T19:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,68,1815-06-17T20:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,69,1815-06-17T21:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,70,1815-06-17T22:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,71,1815-06-17T23:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,72,1815-06-18T00:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,73,1815-06-18T01:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,74,1815-06-18T02:00:00Z,"4.3813, 50.7701"
B04RF1B,5,3,75,1815-06-18T03:00:00Z,"4.3813, 50.7701"
B10BCRHus,2,3,0,1815-06-15T00:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,1,1815-06-15T01:00:00Z,"3.9437, 50.8249"
